time,black,gray
15,2084,2095
17.5,2086,2097
20,2089,2099
22.5,2093,2100
25,2097,2098
27.5,2101,2096
30,2104,2094
32.5,2104,2094
35,2102,2094
37.5,2098,2095
40,2094,2096
42.5,2089,2098
45,2089,2100
47.5,2093,2102
50,2098,2103
52.5,2103,2103
55,2108,2103
57.5,2112,2104
60,2114,2105
62.5,2111,2106
65,2106,2106
67.5,2102,2106
70,2101,2107
72.5,2105,2108
75,2110,2108
77.5,2115,2107
80,2120,2105
82.5,2124,2104
85,2125,2102
87.5,2122,2102
90,2117,2103
92.5,2112,2104
95,2113,2106
97.5,2116,2109
100,2118,2111
102.5,2119,2113
105,2118,2115
107.5,2115,2116
110,2111,2115
112.5,2107,2112
115,2104,2109
117.5,2104,2106
120,2107,2104
122.5,2112,2104
125,2116,2105
127.5,2118,2107
130,2117,2110
132.5,2113,2113
135,2108,2115
137.5,2105,2116
140,2101,2115
142.5,2097,2112
145,2095,2108
147.5,2095,2105
150,2096,2104
152.5,2101,2104
155,2107,2106
157.5,2114,2109
160,2121,2111
162.5,2126,2108
165,2127,2103
167.5,2123,2098
170,2116,2095
172.5,2107,2092
175,2098,2091
177.5,2093,2091
180,2089,2092
182.5,2087,2093
185,2088,2095
187.5,2091,2098
190,2092,2102
192.5,2092,2106
195,2091,2110
197.5,2090,2113
200,2093,2116
202.5,2097,2119
205,2102,2121
207.5,2106,2123
210,2109,2124
212.5,2110,2125
215,2110,2125
217.5,2108,2124
220,2105,2122
222.5,2103,2120
225,2106,2118
227.5,2110,2117
230,2115,2116
232.5,2119,2115
235,2122,2115
237.5,2123,2115
240,2123,2114
242.5,2122,2113
245,2121,2112
247.5,2119,2111
250,2117,2110
252.5,2115,2110
255,2114,2109
257.5,2120,2108
260,2122,2107
262.5,2121,2106
265,2119,2106
267.5,2115,2105
270,2109,2105
272.5,2102,2105
275,2095,2105
277.5,2089,2105
280,2086,2105
282.5,2085,2105
285,2085,2105
